begin timestamp : 1700706242.885757; tag : query; duration : 0.13909649848937988; package_0 : 7609028.0; package_1 : 8772312.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6498
begin timestamp : 1700706243.0277092; tag : query; duration : 0.15543818473815918; package_0 : 8489063.0; package_1 : 9788511.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7175
begin timestamp : 1700706243.1860309; tag : query; duration : 0.14676165580749512; package_0 : 8044933.0; package_1 : 9278573.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6830
begin timestamp : 1700706243.3356643; tag : query; duration : 0.15740156173706055; package_0 : 8650066.0; package_1 : 10018051.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7246
begin timestamp : 1700706243.4959202; tag : query; duration : 0.18747830390930176; package_0 : 10291475.0; package_1 : 11873349.0; core_0 : 351.0; core_1 : 0.0; nvidia_gpu_0 : 8572
begin timestamp : 1700706243.686251; tag : query; duration : 0.13454627990722656; package_0 : 7391097.0; package_1 : 8514422.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6317
begin timestamp : 1700706243.826145; tag : query; duration : 0.14806079864501953; package_0 : 8128761.0; package_1 : 9344197.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6830
begin timestamp : 1700706243.9771051; tag : query; duration : 0.15479397773742676; package_0 : 8430808.0; package_1 : 9719392.0; core_0 : 427.0; core_1 : 0.0; nvidia_gpu_0 : 7137
begin timestamp : 1700706244.1348; tag : query; duration : 0.12252926826477051; package_0 : 6677114.0; package_1 : 7696257.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5686
begin timestamp : 1700706244.2602055; tag : query; duration : 0.15520882606506348; package_0 : 8483005.0; package_1 : 9792874.0; core_0 : 198.0; core_1 : 1556.0; nvidia_gpu_0 : 7184
begin timestamp : 1700706244.4182916; tag : query; duration : 0.17116689682006836; package_0 : 9359013.0; package_1 : 10796774.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7871
begin timestamp : 1700706244.5924006; tag : query; duration : 0.13162565231323242; package_0 : 7175074.0; package_1 : 8279434.0; core_0 : 321.0; core_1 : 0.0; nvidia_gpu_0 : 6181
begin timestamp : 1700706244.727489; tag : query; duration : 0.14760518074035645; package_0 : 8048991.0; package_1 : 9288537.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6832
begin timestamp : 1700706244.8779752; tag : query; duration : 0.1228790283203125; package_0 : 6731753.0; package_1 : 7765758.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5727
begin timestamp : 1700706245.003697; tag : query; duration : 0.14337539672851562; package_0 : 7881673.0; package_1 : 9009666.0; core_0 : 427.0; core_1 : 0.0; nvidia_gpu_0 : 6482
begin timestamp : 1700706245.1521263; tag : query; duration : 0.1793079376220703; package_0 : 9740936.0; package_1 : 11368339.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 8306
begin timestamp : 1700706245.334281; tag : query; duration : 0.20390558242797852; package_0 : 11168002.0; package_1 : 12891210.0; core_0 : 15.0; core_1 : 0.0; nvidia_gpu_0 : 9358
begin timestamp : 1700706245.541112; tag : query; duration : 0.15727877616882324; package_0 : 8621029.0; package_1 : 9909217.0; core_0 : 1145.0; core_1 : 0.0; nvidia_gpu_0 : 7213
begin timestamp : 1700706245.7015712; tag : query; duration : 0.16611099243164062; package_0 : 9376896.0; package_1 : 10477608.0; core_0 : 2563.0; core_1 : 0.0; nvidia_gpu_0 : 7634
